Latitude,Longitude,People,Bicycles,Vehicles
1.3624108,103.8435223,10.666666666666666,3.75,0.17592592592592593
1.3623765,103.8436065,7.6,2.6818181818181817,0.03636363636363636
1.3623441,103.8436916,5.657657657657658,1.90990990990991,0.06306306306306306
1.3623088,103.8437748,9.832,0.696,0.304
1.3622719,103.8438582,11.777777777777779,2.3796296296296298,0.12037037037037036
1.3622429,103.8439441,13.699029126213592,1.2233009708737863,0.05825242718446602
1.3622071,103.8440271,15.904761904761905,0.6857142857142857,0.10476190476190476
1.3621713,103.8441124,7.794642857142857,0.15178571428571427,0.8482142857142857
1.3621374,103.8441964,10.98360655737705,0.02459016393442623,0.3770491803278688
1.3620984,103.8442801,14.089430894308943,1.4959349593495934,0.6910569105691057
1.3620569,103.8443621,11.298387096774194,2.75,0.8951612903225806
